pubmed_id,actual
25429730,yes
25433161,yes
25431941,yes
25432519,yes
25440440,yes
25429648,yes
25424148,yes
25447567,yes
25445624,yes
25445628,yes
25432781,yes
25429481,yes
25424372,yes
25449410,yes
25448648,yes
25445712,yes
25440267,yes
25440261,yes
25432826,yes
25447994,yes
25453030,yes
25444989,yes
25444981,yes
25436308,yes
25436304,yes
25446283,yes
25435286,yes
25451441,yes
25434319,yes
25448803,yes
25437817,yes
25439493,yes
25450181,yes
25450186,yes
25449231,yes
25427958,yes
25437683,yes
25442456,yes
25440857,yes
25452597,yes
25452591,yes
25429803,yes
25429809,yes
25424667,yes
25424481,yes
25446758,yes
25439841,yes
25450204,yes
25450205,yes
25448329,yes
25448327,yes
25434615,yes
25430986,yes
25430980,yes
25424361,yes
25450850,yes
25430589,yes
25441600,yes
25440451,yes
25429176,yes
25444158,yes
25425421,yes
25447577,yes
25429902,yes
25427406,yes
25436452,yes
25443276,yes
25425302,yes
25433284,yes
25433282,yes
25452253,yes
25428612,yes
25443761,yes
25447846,yes
25428725,yes
25428728,yes
25451397,yes
25439779,yes
25437821,yes
25450014,yes
25441747,yes
25440027,yes
25452923,yes
25428574,yes
25429227,yes
25428431,yes
25432365,yes
25432085,yes
25452725,yes
25431267,yes
25431265,yes
25443876,yes
25443870,yes
25441702,yes
25431456,yes
25439488,yes
25442655,yes
25424054,yes
25450844,yes
25448926,yes
25441638,yes
25449506,yes
25446361,yes
25434497,yes
25444147,yes
25445232,yes
25425451,yes
25423535,yes
25452165,no
25428761,no
25423883,no
25426190,no
25439094,no
25439526,no
25433106,no
25442652,no
25443022,no
25433008,no
25452843,no
25446338,no
25425259,no
25449247,no
25442495,no
25449047,no
25446808,no
25428920,no
25429472,no
25440618,no
25450751,no
25428458,no
25424502,no
25445890,no
25440643,no
25442044,no
25451401,no
25440327,no
27510251,no
27511818,no
27519469,no
27515066,no
27496822,no
27490740,no
27489502,no
27493887,no
27513399,no
27492913,no
27506393,no
27519926,no
27498122,no
27491472,no
27516122,no
27519875,no
27496751,no
27493882,no
27505036,no
27510332,no
27491601,no
27518489,no
27501431,no
25093483,no
25089253,no
25100510,no
25085462,no
25086748,no
25069600,no
25084811,no
25082957,no
25070544,no
25079132,no
25074943,no
25081034,no
25077412,no
25076100,no
25088500,no
25095747,no
25090258,no
25072126,no
25092160,no
25080093,no
25088333,no
25081746,no
25069635,no
25085943,no
10735901,no
10748868,no
10730995,no
10737479,no
10732291,no
26037986,maybe
17940352,maybe
20082356,maybe
25277731,maybe
17179167,maybe
20337202,maybe
22427593,maybe
11570976,maybe
26686513,maybe
24160268,maybe
25987398,maybe
16816043,maybe
10223070,maybe
11411430,maybe
17279467,maybe
1571683,maybe
20871246,maybe
12805495,maybe
25007420,maybe
11867487,maybe
10605400,maybe
17076091,maybe
26778755,maybe
14992556,maybe
26134053,maybe
25371231,maybe
25779009,maybe
22302658,maybe
20971618,maybe
25793749,maybe
23860049,maybe
12790890,maybe
19711462,maybe
23386371,maybe
23149821,maybe
25103647,maybe
20101129,maybe
19351635,maybe
11247896,maybe
25636371,maybe
25735444,maybe
19103915,maybe
19578820,maybe
