paragraph_id,proposition_id,quad_index,triple_similarity,qa_similarity,n_relationships
1183,18501,1,0.592418,0.582601,3
1183,18501,2,0.981296,0.866487,3
1183,18501,3,0.858325,0.592887,3
1183,18505,1,0.922546,0.741383,3
1183,18505,2,0.725932,0.727515,3
1183,18505,3,0.492558,0.442754,3
1183,18504,1,0.80744,0.795653,4
1183,18504,2,0.588094,0.577387,4
1183,18504,3,0.516794,0.579352,4
1183,18504,4,0.555162,0.635551,4
1183,18507,1,0.94286,0.896605,3
1183,18507,2,0.944874,0.889518,3
1183,18507,3,0.385276,0.414555,3
1184,18515,1,0.542682,0.575977,4
1184,18515,2,0.641142,0.862335,4
1184,18515,3,0.647253,0.833068,4
1184,18515,4,0.580376,0.562081,4
1184,18517,1,0.784562,0.829884,4
1184,18517,2,0.666808,0.687618,4
1184,18517,3,0.533303,0.488729,4
1184,18517,4,0.663242,0.583673,4
1184,18518,1,0.967616,0.871034,3
1184,18518,2,1.0,0.871034,3
1184,18518,3,0.966751,0.929943,3
1184,18519,1,0.860815,0.675484,4
1184,18519,2,0.80446,0.660454,4
1184,18519,3,0.819494,0.632522,4
1184,18519,4,0.737559,0.726484,4
1184,18522,1,0.663114,0.768589,3
1184,18522,2,0.280115,0.457721,3
1184,18522,3,0.628743,0.38292,3
1184,18525,1,0.83989,0.925173,3
1184,18525,2,0.808385,0.708392,3
1184,18525,3,0.720949,0.902752,3
1184,18523,1,0.909852,0.932914,4
1184,18523,2,0.538884,0.612177,4
1184,18523,3,0.597713,0.425165,4
1184,18523,4,0.715719,0.651129,4
1184,18526,1,0.841403,0.90628,3
1184,18526,2,0.801752,0.744518,3
1184,18526,3,0.770401,0.867665,3
1184,18527,1,0.732959,0.981685,3
1184,18527,2,0.877182,0.854421,3
1184,18527,3,0.860512,0.803769,3
1184,18524,1,0.790825,0.76644,5
1184,18524,2,0.676741,0.65155,5
1184,18524,3,0.856458,0.758798,5
1184,18524,4,0.439544,0.319963,5
1184,18524,5,0.76877,0.719164,5
1184,18528,1,0.897507,0.807446,4
1184,18528,2,0.874246,0.809188,4
1184,18528,3,0.869048,0.803774,4
1184,18528,4,0.874742,0.803774,4
1184,18529,1,0.893388,0.812247,4
1184,18529,2,0.670443,0.640311,4
1184,18529,3,0.647417,0.669646,4
1184,18529,4,0.640574,0.57619,4
1184,18531,1,0.805804,0.760268,4
1184,18531,2,0.746423,0.742751,4
1184,18531,3,0.779101,0.742751,4
1184,18531,4,0.696695,0.665775,4
1184,18530,1,0.810917,0.833434,4
1184,18530,2,0.658699,0.626291,4
1184,18530,3,0.572579,0.521851,4
1184,18530,4,0.624951,0.577109,4
1186,18540,1,0.380857,0.255222,3
1186,18540,2,0.633166,0.543039,3
1186,18540,3,0.862288,0.840258,3
1185,18536,1,0.326096,0.308235,4
1185,18536,2,0.395254,0.36438,4
1185,18536,3,0.469349,0.49801,4
1185,18536,4,0.778826,0.782112,4
1186,18541,1,0.863628,0.625169,6
1186,18541,2,0.844225,0.789031,6
1186,18541,3,0.837903,0.544135,6
1186,18541,4,0.808318,0.62092,6
1186,18541,5,0.799478,0.681059,6
1186,18541,6,0.758169,0.718855,6
1186,18543,1,0.67734,0.460318,3
1186,18543,2,0.687647,0.445498,3
1186,18543,3,0.680149,0.756488,3
1186,18547,1,0.857691,0.87662,3
1186,18547,2,0.817622,0.86974,3
1186,18547,3,0.868822,0.714127,3
1187,18552,1,0.665373,0.827425,4
1187,18552,2,0.931765,0.898521,4
1187,18552,3,0.709971,0.644259,4
1187,18552,4,0.208261,0.186503,4
1187,18553,1,0.768023,0.639567,5
1187,18553,2,0.748055,0.675157,5
1187,18553,3,0.638058,0.590533,5
1187,18553,4,0.67352,0.611329,5
1187,18553,5,0.56429,0.656612,5
1187,18556,1,0.754577,0.732023,4
1187,18556,2,0.852687,0.728011,4
1187,18556,3,0.795302,0.771135,4
1187,18556,4,0.78803,0.774001,4
1187,18560,1,0.873521,0.705989,4
1187,18560,2,0.808606,0.296498,4
1187,18560,3,0.690734,0.745773,4
1187,18560,4,0.688403,0.719048,4
1187,18561,1,0.555076,0.41843,4
1187,18561,2,0.580688,0.618515,4
1187,18561,3,0.735776,0.625882,4
1187,18561,4,0.753839,0.551072,4
1187,18559,1,0.667686,0.596148,3
1187,18559,2,0.627588,0.625572,3
1187,18559,3,0.608518,0.479502,3
1188,18568,1,0.928305,0.839047,3
1188,18568,2,0.657888,0.400021,3
1188,18568,3,0.809833,0.773193,3
1188,18564,1,0.32887,0.385912,4
1188,18564,2,0.951996,0.811248,4
1188,18564,3,0.869743,0.807329,4
1188,18564,4,0.370811,0.310738,4
1188,18565,1,0.517076,0.328978,5
1188,18565,2,0.953821,0.835839,5
1188,18565,3,0.822983,0.876773,5
1188,18565,4,0.71364,0.655852,5
1188,18565,5,0.68531,0.675657,5
1189,18572,1,0.512538,0.445667,3
1189,18572,2,0.437948,0.358886,3
1189,18572,3,0.80847,0.739966,3
1189,18573,1,0.85774,0.769764,4
1189,18573,2,0.889223,0.788911,4
1189,18573,3,0.786105,0.751254,4
1189,18573,4,0.800626,0.76906,4
1189,18576,1,0.646921,0.477632,3
1189,18576,2,0.699671,0.641897,3
1189,18576,3,0.836308,0.746316,3
1189,18580,1,0.844699,0.7086,3
1189,18580,2,0.955261,0.812467,3
1189,18580,3,0.941767,0.813994,3
1189,18577,1,0.737947,0.786152,5
1189,18577,2,0.288302,0.309473,5
1189,18577,3,0.733841,0.658178,5
1189,18577,4,0.765528,0.692761,5
1189,18577,5,0.726407,0.730695,5
1189,18584,1,0.913054,0.849851,3
1189,18584,2,0.95933,0.898354,3
1189,18584,3,0.524226,0.33925,3
1188,18571,1,0.629864,0.627141,13
1188,18571,2,0.5104,0.606719,13
1188,18571,3,0.519063,0.502482,13
1188,18571,4,0.506583,0.544176,13
1188,18571,5,0.55107,0.575549,13
1188,18571,6,0.55858,0.536056,13
1188,18571,7,0.586591,0.610993,13
1188,18571,8,0.515343,0.539784,13
1188,18571,9,0.532668,0.572234,13
1188,18571,10,0.514991,0.553826,13
1188,18571,11,0.567523,0.583052,13
1188,18571,12,0.393804,0.416921,13
1188,18571,13,0.194473,0.562204,13
1190,18588,1,0.887235,0.881149,3
1190,18588,2,0.90471,0.860492,3
1190,18588,3,0.792445,0.850938,3
1190,18590,1,0.603655,0.625296,3
1190,18590,2,0.841348,0.764062,3
1190,18590,3,0.80873,0.822256,3
1190,18597,1,0.932627,0.596409,3
1190,18597,2,0.792433,0.631971,3
1190,18597,3,0.419315,0.367063,3
1190,18595,1,0.881041,0.858659,4
1190,18595,2,0.932161,0.796059,4
1190,18595,3,0.52419,0.442639,4
1190,18595,4,0.391077,0.355326,4
1191,18605,1,0.336308,0.370924,4
1191,18605,2,0.732857,0.536911,4
1191,18605,3,0.622581,0.501134,4
1191,18605,4,0.707931,0.615937,4
1191,18607,1,0.919676,0.711169,3
1191,18607,2,0.901295,0.629316,3
1191,18607,3,0.191798,0.593367,3
1191,18609,1,0.806055,0.695763,6
1191,18609,2,0.883601,0.809261,6
1191,18609,3,0.885839,0.731955,6
1191,18609,4,0.867428,0.788397,6
1191,18609,5,0.869773,0.776953,6
1191,18609,6,0.239894,0.244513,6
1191,18610,1,0.842918,0.819956,5
1191,18610,2,0.794371,0.749381,5
1191,18610,3,0.827315,0.683897,5
1191,18610,4,0.699293,0.543487,5
1191,18610,5,0.208806,0.246784,5
1191,18612,1,0.892622,0.818118,4
1191,18612,2,0.812194,0.718424,4
1191,18612,3,0.793003,0.681419,4
1191,18612,4,0.793173,0.743155,4
1191,18611,1,0.818734,0.65952,5
1191,18611,2,0.701956,0.638102,5
1191,18611,3,0.7915,0.714477,5
1191,18611,4,0.856777,0.856129,5
1191,18611,5,0.281217,0.333876,5
1191,18604,1,0.805623,0.884946,4
1191,18604,2,0.838875,0.608193,4
1191,18604,3,0.60802,0.46008,4
1191,18604,4,0.526842,0.456698,4
1192,18614,1,0.614773,0.762341,3
1192,18614,2,0.763712,0.686577,3
1192,18614,3,0.890021,0.799597,3
1192,18615,1,0.78265,0.755427,3
1192,18615,2,0.60678,0.570353,3
1192,18615,3,0.841752,0.57428,3
1192,18622,1,0.715892,0.654089,3
1192,18622,2,0.582261,0.564439,3
1192,18622,3,0.421622,0.359987,3
1193,18626,1,0.792853,0.513542,3
1193,18626,2,0.936073,0.794109,3
1193,18626,3,0.672592,0.620206,3
1193,18627,1,0.617004,0.452562,3
1193,18627,2,0.845688,0.719024,3
1193,18627,3,0.595871,0.528759,3
1192,18623,1,0.894585,0.74933,4
1192,18623,2,0.934815,0.858167,4
1192,18623,3,0.685081,0.706068,4
1192,18623,4,0.646452,0.54042,4
1193,18628,1,0.733125,0.61857,3
1193,18628,2,0.850454,0.70049,3
1193,18628,3,0.661614,0.570424,3
1193,18629,1,0.740876,0.688739,3
1193,18629,2,0.796252,0.649897,3
1193,18629,3,0.828536,0.62729,3
1193,18630,1,0.872633,0.935058,3
1193,18630,2,0.957686,0.94589,3
1193,18630,3,0.763903,0.737957,3
1193,18634,1,1.0,0.907576,3
1193,18634,2,0.76264,0.613574,3
1193,18634,3,0.705433,0.763451,3
1194,18637,1,0.882954,0.763436,3
1194,18637,2,0.847296,0.708584,3
1194,18637,3,0.788289,0.791656,3
1194,18638,1,0.838769,0.801774,3
1194,18638,2,0.74296,0.675316,3
1194,18638,3,0.978639,0.939853,3
1194,18639,1,0.903486,0.818186,3
1194,18639,2,0.891669,0.895177,3
1194,18639,3,0.748977,0.922869,3
1193,18636,1,0.748314,0.599683,3
1193,18636,2,0.668958,0.87056,3
1193,18636,3,0.88856,0.84213,3
1193,18632,1,1.0,0.916951,4
1193,18632,2,0.750126,0.668704,4
1193,18632,3,0.548458,0.459245,4
1193,18632,4,0.30093,0.296437,4
1194,18645,1,0.885723,0.688241,3
1194,18645,2,0.768508,0.764339,3
1194,18645,3,0.625489,0.705984,3
1194,18646,1,0.859813,0.834717,3
1194,18646,2,0.84541,0.796869,3
1194,18646,3,0.525088,0.418067,3
1194,18652,1,0.961671,0.897722,3
1194,18652,2,0.847576,0.728136,3
1194,18652,3,0.918123,0.81919,3
1194,18649,1,0.957246,0.854342,4
1194,18649,2,0.812828,0.747497,4
1194,18649,3,0.349576,0.376783,4
1194,18649,4,0.911363,0.574371,4
1194,18651,1,0.957665,0.902632,4
1194,18651,2,0.754418,0.714425,4
1194,18651,3,0.386436,0.243466,4
1194,18651,4,0.929522,0.905881,4
1194,18648,1,0.894612,0.894286,4
1194,18648,2,0.853552,0.87075,4
1194,18648,3,0.894612,0.888782,4
1194,18648,4,0.853552,0.876201,4
1194,18650,1,0.957959,0.882246,4
1194,18650,2,0.86031,0.761425,4
1194,18650,3,0.392119,0.317167,4
1194,18650,4,0.964025,0.895811,4
1195,18657,1,0.79558,0.792516,3
1195,18657,2,0.823494,0.792516,3
1195,18657,3,0.626018,0.513762,3
1195,18658,1,0.823633,0.782015,3
1195,18658,2,0.789439,0.746114,3
1195,18658,3,0.825936,0.772093,3
1194,18655,1,0.956103,0.849965,4
1194,18655,2,0.872492,0.77999,4
1194,18655,3,0.823244,0.79103,4
1194,18655,4,0.920563,0.893547,4
1195,18660,1,0.906444,0.872819,3
1195,18660,2,0.923737,0.914204,3
1195,18660,3,0.92478,0.906814,3
1195,18662,1,0.899499,0.899819,3
1195,18662,2,0.913273,0.921452,3
1195,18662,3,0.737233,0.705228,3
1195,18665,1,0.606102,0.685602,3
1195,18665,2,0.469995,0.662452,3
1195,18665,3,0.898377,0.869487,3
1195,18661,1,0.856484,0.671398,6
1195,18661,2,0.603859,0.611309,6
1195,18661,3,0.638129,0.592957,6
1195,18661,4,0.827015,0.71149,6
1195,18661,5,0.569906,0.310633,6
1195,18661,6,0.513788,0.536934,6
1195,18666,1,0.726165,0.588445,3
1195,18666,2,0.68458,0.670613,3
1195,18666,3,0.800469,0.80497,3
1195,18667,1,0.954107,0.898735,3
1195,18667,2,0.575731,0.534155,3
1195,18667,3,0.547461,0.519444,3
1196,18670,1,0.608892,0.522778,3
1196,18670,2,0.900815,0.76245,3
1196,18670,3,0.727939,0.676989,3
1196,18672,1,0.361647,0.262784,5
1196,18672,2,0.299464,0.344537,5
1196,18672,3,0.478945,0.298529,5
1196,18672,4,0.537047,0.503388,5
1196,18672,5,0.447709,0.290244,5
1196,18677,1,0.821414,0.726883,4
1196,18677,2,0.859374,0.751362,4
1196,18677,3,0.813215,0.735325,4
1196,18677,4,0.742728,0.745688,4
1197,18681,1,0.581746,0.321813,5
1197,18681,2,0.742919,0.633925,5
1197,18681,3,0.673078,0.618282,5
1197,18681,4,0.858555,0.771146,5
1197,18681,5,0.675925,0.641482,5
1197,18685,1,0.912549,0.835398,3
1197,18685,2,0.89008,0.825548,3
1197,18685,3,0.35989,0.467153,3
1197,18686,1,0.73249,0.537648,5
1197,18686,2,0.747195,0.537648,5
1197,18686,3,0.827027,0.660956,5
1197,18686,4,0.472913,0.556184,5
1197,18686,5,0.716621,0.518991,5
1197,18689,1,0.777071,0.659436,4
1197,18689,2,0.687058,0.678726,4
1197,18689,3,0.854332,0.83345,4
1197,18689,4,0.713614,0.837107,4
1198,18693,1,0.645012,0.642794,4
1198,18693,2,0.829092,0.508602,4
1198,18693,3,0.779745,0.641812,4
1198,18693,4,0.448806,0.298218,4
1198,18697,1,0.896057,0.763593,4
1198,18697,2,0.83279,0.712567,4
1198,18697,3,0.58748,0.440716,4
1198,18697,4,0.847551,0.716807,4
1198,18698,1,0.926794,0.696435,3
1198,18698,2,0.726227,0.711902,3
1198,18698,3,0.64996,0.825978,3
1199,18702,1,0.910576,0.867687,3
1199,18702,2,0.866111,0.864865,3
1199,18702,3,1.0,0.89258,3
1199,18706,1,0.980219,0.936387,3
1199,18706,2,0.628704,0.674375,3
1199,18706,3,0.620705,0.543098,3
1199,18704,1,0.261904,0.361932,3
1199,18704,2,0.945867,0.835523,3
1199,18704,3,0.879832,0.847481,3
1199,18700,1,0.939731,0.832934,3
1199,18700,2,0.92595,0.842118,3
1199,18700,3,0.578032,0.538893,3
1199,18707,1,0.829843,0.953231,4
1199,18707,2,0.787107,0.728141,4
1199,18707,3,0.757818,0.740206,4
1199,18707,4,0.520039,0.360391,4
1199,18710,1,0.778837,0.820099,3
1199,18710,2,0.820959,0.649668,3
1199,18710,3,0.828842,0.766691,3
1199,18708,1,0.792252,0.838706,4
1199,18708,2,0.76007,0.660082,4
1199,18708,3,0.716401,0.706347,4
1199,18708,4,0.863437,0.720091,4
