paragraph_id,proposition_id,quad_index,triple_similarity,qa_similarity
1183,18503,1,1.000000,0.237906
1183,18500,1,0.943845,0.729727
1183,18500,2,0.894254,0.805354
1183,18502,1,0.655481,0.859257
1183,18502,2,1.000000,0.930779
1183,18501,1,0.592418,0.582601
1183,18501,2,0.981296,0.866487
1183,18501,3,0.858325,0.592887
1183,18505,1,0.922546,0.741383
1183,18505,2,0.725932,0.727515
1183,18505,3,0.492558,0.442754
1183,18506,1,0.708185,0.626747
1183,18504,1,0.807440,0.795653
1183,18504,2,0.588094,0.577387
1183,18504,3,0.516794,0.579352
1183,18504,4,0.555162,0.635551
1183,18508,1,0.700361,0.705821
1183,18508,2,0.968493,0.887591
1183,18510,1,0.980925,0.643481
1183,18509,1,0.771715,0.635903
1183,18509,2,0.995497,0.877363
1183,18507,1,0.942860,0.896605
1183,18507,2,0.944874,0.889518
1183,18507,3,0.385276,0.414555
1183,18511,1,0.955586,0.757459
1183,18512,1,0.862395,0.796399
1183,18512,2,0.718418,0.650658
1183,18514,1,0.913631,0.928130
1183,18513,1,0.751584,0.861646
1183,18513,2,0.886305,0.774314
1184,18516,1,0.905532,0.805608
1184,18516,2,0.816952,0.821483
1184,18515,1,0.542682,0.575977
1184,18515,2,0.641142,0.862335
1184,18515,3,0.647253,0.833068
1184,18515,4,0.580376,0.562081
1184,18520,1,0.985811,0.847907
1184,18521,1,0.927241,0.654202
1184,18521,2,0.877481,0.654202
1184,18517,1,0.784562,0.829884
1184,18517,2,0.666808,0.687618
1184,18517,3,0.533303,0.488729
1184,18517,4,0.663242,0.583673
1184,18518,1,0.967616,0.871034
1184,18518,2,1.000000,0.871034
1184,18518,3,0.966751,0.929943
1184,18519,1,0.860815,0.675484
1184,18519,2,0.804460,0.660454
1184,18519,3,0.819494,0.632522
1184,18519,4,0.737559,0.726484
1184,18522,1,0.663114,0.768589
1184,18522,2,0.280115,0.457721
1184,18522,3,0.628743,0.382920
1184,18525,1,0.839890,0.925173
1184,18525,2,0.808385,0.708392
1184,18525,3,0.720949,0.902752
1184,18523,1,0.909852,0.932914
1184,18523,2,0.538884,0.612177
1184,18523,3,0.597713,0.425165
1184,18523,4,0.715719,0.651129
1184,18526,1,0.841403,0.906280
1184,18526,2,0.801752,0.744518
1184,18526,3,0.770401,0.867665
1184,18527,1,0.732959,0.981685
1184,18527,2,0.877182,0.854421
1184,18527,3,0.860512,0.803769
1184,18524,1,0.790825,0.766440
1184,18524,2,0.676741,0.651550
1184,18524,3,0.856458,0.758798
1184,18524,4,0.439544,0.319963
1184,18524,5,0.768770,0.719164
1184,18528,1,0.897507,0.807446
1184,18528,2,0.874246,0.809188
1184,18528,3,0.869048,0.803774
1184,18528,4,0.874742,0.803774
1185,18532,1,0.907236,0.842530
1185,18533,1,0.905517,0.852512
1185,18533,2,0.809611,0.854887
1184,18529,1,0.893388,0.812247
1184,18529,2,0.670443,0.640311
1184,18529,3,0.647417,0.669646
1184,18529,4,0.640574,0.576190
1184,18531,1,0.805804,0.760268
1184,18531,2,0.746423,0.742751
1184,18531,3,0.779101,0.742751
1184,18531,4,0.696695,0.665775
1185,18535,1,0.648958,0.907465
1185,18534,1,1.000000,0.886239
1184,18530,1,0.810917,0.833434
1184,18530,2,0.658699,0.626291
1184,18530,3,0.572579,0.521851
1184,18530,4,0.624951,0.577109
1186,18538,1,0.962430,0.671220
1185,18537,1,0.618558,0.521791
1185,18537,2,0.797217,0.540312
1186,18540,1,0.380857,0.255222
1186,18540,2,0.633166,0.543039
1186,18540,3,0.862288,0.840258
1185,18536,1,0.326096,0.308235
