paragraph_id,proposition_id,quad_index,triple_similarity,qa_similarity,n_relationships
1183,18500,1,0.943845,0.729727,2
1183,18500,2,0.894254,0.805354,2
1183,18502,1,0.655481,0.859257,2
1183,18502,2,1.0,0.930779,2
1183,18508,1,0.700361,0.705821,2
1183,18508,2,0.968493,0.887591,2
1183,18509,1,0.771715,0.635903,2
1183,18509,2,0.995497,0.877363,2
1183,18512,1,0.862395,0.796399,2
1183,18512,2,0.718418,0.650658,2
1183,18513,1,0.751584,0.861646,2
1183,18513,2,0.886305,0.774314,2
1184,18516,1,0.905532,0.805608,2
1184,18516,2,0.816952,0.821483,2
1184,18521,1,0.927241,0.654202,2
1184,18521,2,0.877481,0.654202,2
1185,18533,1,0.905517,0.852512,2
1185,18533,2,0.809611,0.854887,2
1185,18537,1,0.618558,0.521791,2
1185,18537,2,0.797217,0.540312,2
1186,18539,1,1.0,0.453896,2
1186,18539,2,0.961426,0.878883,2
1186,18545,1,0.711447,0.540919,2
1186,18545,2,0.931581,0.750539,2
1187,18555,1,0.69076,0.530131,2
1187,18555,2,0.850481,0.793898,2
1188,18562,1,0.938988,0.95091,2
1188,18562,2,0.933594,0.780739,2
1188,18566,1,0.857605,0.916166,2
1188,18566,2,0.969926,0.923556,2
1188,18569,1,0.936604,0.832853,2
1188,18569,2,0.61318,0.498327,2
1188,18567,1,0.90901,0.834738,2
1188,18567,2,0.911145,0.713943,2
1188,18570,1,0.928041,0.902948,2
1188,18570,2,0.635436,0.637367,2
1189,18575,1,0.622079,0.692977,2
1189,18575,2,0.791327,0.613689,2
1189,18578,1,0.851508,0.757509,2
1189,18578,2,0.930305,0.867039,2
1189,18579,1,0.73641,0.566002,2
1189,18579,2,0.794908,0.685146,2
1189,18581,1,0.940651,0.726151,2
1189,18581,2,0.96273,0.749606,2
1189,18583,1,0.933183,0.789645,2
1189,18583,2,0.963099,0.800495,2
1189,18582,1,0.950155,0.748063,2
1189,18582,2,0.959525,0.713873,2
1190,18591,1,0.9782,0.90459,2
1190,18591,2,0.949949,0.81855,2
1190,18589,1,0.512886,0.404363,2
1190,18589,2,1.0,0.922317,2
1190,18596,1,0.840888,0.798826,2
1190,18596,2,0.961873,0.927523,2
1190,18592,1,0.92579,0.779767,2
1190,18592,2,0.637901,0.625757,2
1190,18599,1,0.895206,0.598033,2
1190,18599,2,0.783825,0.874223,2
1190,18598,1,0.959615,0.920414,2
1190,18598,2,0.757587,0.817689,2
1190,18601,1,0.90502,0.837062,2
1190,18601,2,0.85032,0.614639,2
1191,18606,1,0.823408,0.462291,2
1191,18606,2,0.865221,0.717773,2
1191,18608,1,0.495622,0.443351,2
1191,18608,2,0.839625,0.63354,2
1191,18613,1,0.842009,0.707449,2
1191,18613,2,0.863918,0.812714,2
1192,18621,1,0.861549,0.892141,2
1192,18621,2,0.827095,0.830461,2
1192,18619,1,0.818359,0.729696,2
1192,18619,2,0.985092,0.396123,2
1193,18635,1,0.949063,0.925436,2
1193,18635,2,0.605658,0.525642,2
1193,18633,1,0.865021,0.742973,2
1193,18633,2,0.685277,0.620358,2
1194,18647,1,0.99036,0.963809,2
1194,18647,2,0.574348,0.935577,2
1194,18644,1,0.97737,0.869195,2
1194,18644,2,0.861651,0.849641,2
1194,18653,1,0.956392,0.866265,2
1194,18653,2,0.902293,0.842719,2
1194,18654,1,0.951355,0.858408,2
1194,18654,2,0.898947,0.862343,2
1195,18664,1,0.884887,0.819876,2
1195,18664,2,0.714351,0.73228,2
1195,18668,1,0.947777,0.848143,2
1195,18668,2,0.650483,0.557277,2
1196,18673,1,0.878873,0.604763,2
1196,18673,2,0.791495,0.483098,2
1196,18671,1,0.843478,0.612611,2
1196,18671,2,0.863339,0.646929,2
1196,18675,1,0.824381,0.614894,2
1196,18675,2,0.852952,0.763701,2
1196,18680,1,0.895472,0.896053,2
1196,18680,2,0.267407,0.248782,2
1196,18678,1,0.944258,0.829325,2
1196,18678,2,0.89088,0.764234,2
1197,18684,1,0.869261,0.792588,2
1197,18684,2,0.847737,0.754095,2
1197,18683,1,0.843989,0.734734,2
1197,18683,2,0.686433,0.550803,2
1197,18687,1,0.927868,0.80564,2
1197,18687,2,0.766165,0.540103,2
1197,18690,1,0.543062,0.513418,2
1197,18690,2,0.927921,0.842856,2
1198,18692,1,0.932814,0.828831,2
1198,18692,2,0.765188,0.470666,2
1198,18691,1,0.894878,0.839188,2
1198,18691,2,0.474064,0.834783,2
1199,18705,1,0.731267,0.618404,2
1199,18705,2,0.721968,0.443439,2
1199,18709,1,0.831195,0.634618,2
1199,18709,2,0.825764,0.621933,2
1199,18712,1,0.89829,0.697889,2
1199,18712,2,0.90563,0.709715,2
1200,18718,1,0.904206,0.827773,2
1200,18718,2,0.894876,0.849079,2
1200,18719,1,0.91869,0.945442,2
1200,18719,2,0.758892,0.627474,2
1200,18722,1,0.894537,0.646723,2
1200,18722,2,0.843767,0.694547,2
1200,18725,1,0.900032,0.947539,2
1200,18725,2,0.925329,0.917161,2
1201,18730,1,0.892046,0.843731,2
1201,18730,2,0.97328,0.782376,2
1201,18737,1,0.907987,0.80455,2
1201,18737,2,0.538545,0.438549,2
1202,18742,1,0.699458,0.769332,2
1202,18742,2,1.0,0.909574,2
1203,18749,1,0.651092,0.561989,2
1203,18749,2,0.939372,0.860262,2
1205,18765,1,0.86267,0.779984,2
1205,18765,2,0.821695,0.751345,2
1205,18771,1,1.0,0.919099,2
1205,18771,2,0.774884,0.608565,2
1205,18775,1,0.806629,0.460346,2
1205,18775,2,0.930162,0.816199,2
1205,18772,1,0.868547,0.685036,2
1205,18772,2,0.85061,0.780594,2
1205,18777,1,0.765269,0.568795,2
1205,18777,2,0.92239,0.809781,2
1206,18779,1,0.97291,0.91967,2
1206,18779,2,0.538422,0.335338,2
1206,18780,1,0.831244,0.804298,2
1206,18780,2,0.606563,0.566244,2
