paragraph_id,proposition_id,n_triples,triple_combined_similarity,qa_combined_similarity
1183,18502,2,0.950355,0.827534
1183,18500,2,0.991057,0.717047
1183,18504,4,0.976174,0.874245
1183,18501,3,0.986133,0.778169
1183,18503,3,0.995826,0.739689
1183,18505,4,0.965019,0.750400
1183,18510,1,1.000000,0.965010
1183,18509,2,1.000000,0.670714
1183,18508,3,1.000000,0.811582
1183,18506,5,0.989353,0.901612
1183,18513,2,0.966749,0.858717
1183,18507,5,0.827047,0.807067
1183,18511,2,1.000000,0.767507
1183,18512,2,0.946218,0.839742
1183,18514,2,0.995459,0.790630
1184,18516,2,0.997852,0.914416
1184,18519,2,0.971914,0.685518
1184,18520,1,1.000000,0.701273
1184,18517,4,0.986115,0.722333
1184,18515,3,0.997959,0.895220
1184,18521,2,0.979287,0.592959
1184,18518,5,0.969963,0.888748
1184,18522,3,0.928364,0.643008
1184,18525,2,0.989122,0.902202
1184,18523,5,0.969547,0.891473
1184,18524,3,0.989829,0.830524
1184,18526,3,0.936103,0.794608
1184,18527,3,0.946470,0.896890
1184,18528,2,1.000000,0.795562
1184,18529,4,0.963796,0.866591
1185,18532,2,0.986128,0.903352
1185,18533,2,0.992377,0.913152
1184,18530,3,0.926843,0.877765
1184,18531,4,0.936175,0.901312
1185,18534,4,0.985899,0.943499
1185,18537,2,0.941590,0.697731
1185,18535,3,0.944234,0.745557
1186,18538,2,0.969606,0.603076
1186,18542,1,1.000000,0.851774
1186,18540,2,0.990869,0.751816
1186,18539,3,0.943061,0.443907
1186,18541,3,0.981978,0.483962
1185,18536,6,0.981788,0.453379
1186,18544,1,1.000000,0.811357
1186,18543,3,0.965524,0.589351
1186,18545,2,0.994516,0.801493
1186,18546,2,1.000000,0.775932
1187,18550,1,1.000000,0.740364
1186,18548,2,0.932215,0.867344
1186,18547,4,0.981242,0.856672
1187,18551,2,0.994658,0.934094
1186,18549,3,0.965682,0.878211
1187,18552,3,0.971236,0.871857
1187,18557,2,0.996872,0.618603
1187,18555,3,0.997852,0.728021
1187,18554,5,0.988212,0.573063
1187,18556,4,0.986101,0.730810
1187,18558,2,0.922570,0.879844
1188,18563,1,1.000000,0.868984
1187,18561,2,1.000000,0.850168
1188,18562,2,1.000000,0.879538
1187,18560,3,0.993093,0.805090
1187,18559,4,0.946649,0.809125
1188,18564,2,0.971387,0.816291
1188,18567,2,1.000000,0.953853
1187,18553,10,0.983335,0.819420
1188,18566,4,1.000000,0.900693
1188,18569,2,0.984983,0.851717
1188,18568,3,0.957231,0.884167
1188,18565,6,1.000000,0.860560
1188,18570,2,0.933939,0.823170
1189,18572,4,0.954716,0.853668
1189,18575,3,1.000000,0.726290
1189,18574,4,1.000000,0.605646
1189,18576,3,0.995800,0.506449
1189,18573,4,0.996778,0.823094
