pubmed_id,predicted,actual
25429730,yes,yes
25433161,yes,yes
25445714,maybe,yes
25431941,yes,yes
25432519,yes,yes
25440440,yes,yes
25444977,yes,yes
25429648,no,yes
25424148,yes,yes
25447567,yes,yes
25445624,yes,yes
25445628,yes,yes
25432781,yes,yes
25429481,yes,yes
25424372,yes,yes
25449410,yes,yes
25448648,no,yes
25445712,yes,yes
25440267,yes,yes
25440261,yes,yes
25432826,yes,yes
25447994,yes,yes
25453030,yes,yes
25444989,yes,yes
25444981,no,yes
25436308,yes,yes
25436304,yes,yes
25446283,yes,yes
25438665,maybe,yes
25447851,no,yes
25435286,yes,yes
25429340,no,yes
25451441,yes,yes
25434319,yes,yes
25448803,yes,yes
25437817,yes,yes
25439493,yes,yes
25450181,yes,yes
25450186,maybe,yes
25449231,yes,yes
25427958,yes,yes
25437683,maybe,yes
25442456,yes,yes
25440857,yes,yes
25452597,no,yes
25452591,yes,yes
25429803,yes,yes
25429809,yes,yes
25424667,maybe,yes
25424481,yes,yes
25436124,maybe,yes
25446758,yes,yes
25439841,yes,yes
25439845,yes,yes
25450204,yes,yes
25450205,yes,yes
25448329,yes,yes
25448327,yes,yes
25448325,no,yes
25434615,yes,yes
25430986,yes,yes
25430980,yes,yes
25424361,yes,yes
25424363,maybe,yes
25450850,yes,yes
25450854,yes,yes
25430589,yes,yes
25441600,yes,yes
25431044,no,yes
25440451,yes,yes
25429176,yes,yes
25444158,yes,yes
25425421,yes,yes
25447577,no,yes
25429902,yes,yes
25427406,yes,yes
25436452,yes,yes
25443276,yes,yes
25425302,yes,yes
25433284,maybe,yes
25433282,yes,yes
25452253,yes,yes
25428612,no,yes
25443761,yes,yes
25447846,yes,yes
25428725,yes,yes
25428728,yes,yes
25451397,yes,yes
25439779,yes,yes
25437821,yes,yes
25450014,yes,yes
25441747,yes,yes
25440027,yes,yes
25452923,yes,yes
25428574,yes,yes
25429227,yes,yes
25428431,yes,yes
25432365,yes,yes
25432081,no,yes
25432085,yes,yes
25452725,yes,yes
25431267,yes,yes
25431265,no,yes
25443876,yes,yes
25443870,yes,yes
25441702,yes,yes
25431456,yes,yes
25439488,yes,yes
25442655,no,yes
25424054,yes,yes
25450844,yes,yes
25448926,yes,yes
25441638,yes,yes
25449506,yes,yes
25446361,yes,yes
25434497,yes,yes
25444147,yes,yes
25445232,yes,yes
25425451,yes,yes
25423535,yes,yes
25447560,no,no
25449344,maybe,no
25427957,no,no
25452165,no,no
25428761,no,no
25452595,yes,no
25423883,no,no
25426190,no,no
25433285,maybe,no
25439094,no,no
25439526,no,no
25433106,no,no
25440025,maybe,no
25442652,no,no
25443022,no,no
25433008,no,no
25443245,no,no
25452843,no,no
25446338,no,no
25425259,no,no
25449247,no,no
25442495,no,no
25449047,no,no
25446808,no,no
25428920,maybe,no
25429472,no,no
25443078,no,no
25440618,no,no
25450751,no,no
25428458,maybe,no
25424502,no,no
25445726,yes,no
25432923,maybe,no
25427013,yes,no
25445890,no,no
25440643,no,no
25442044,no,no
25451401,no,no
25440327,no,no
27510251,no,no
27511818,no,no
27519469,no,no
27515066,no,no
27496822,no,no
27503696,maybe,no
27495927,yes,no
27492803,yes,no
27490740,no,no
27489502,no,no
27493887,no,no
27513399,no,no
27490042,no,no
27500970,maybe,no
27519165,yes,no
27492911,maybe,no
27492913,no,no
27501808,yes,no
27506482,maybe,no
27506393,no,no
27519926,no,no
27498122,no,no
27495107,yes,no
27491472,no,no
27516122,no,no
27519875,yes,no
27496751,no,no
27493882,no,no
27514245,yes,no
27505036,no,no
27510332,no,no
27491601,no,no
27518489,no,no
27501431,no,no
25091227,no,no
25099682,no,no
25092163,yes,no
25093483,no,no
25076360,maybe,no
25089253,yes,no
25100510,no,no
25085462,no,no
25076606,no,no
25096451,no,no
25086748,no,no
25075074,no,no
25069600,no,no
25084811,maybe,no
25082957,no,no
25070544,no,no
25079132,no,no
25086795,maybe,no
25083562,yes,no
25092210,no,no
25074943,no,no
25073884,maybe,no
25081034,no,no
25088680,no,no
25077412,no,no
25076100,no,no
25079933,yes,no
25088500,no,no
25095747,yes,no
25069570,no,no
25090258,maybe,no
25072126,no,no
25092160,no,no
25073778,no,no
25080093,no,no
25088333,no,no
25086730,no,no
25081746,no,no
25072223,maybe,no
25069635,yes,no
25085943,maybe,no
25078146,yes,no
10735901,no,no
10748868,no,no
10730995,no,no
10737479,no,no
10732291,no,no
26037986,yes,maybe
17940352,maybe,maybe
24183388,yes,maybe
14599616,yes,maybe
20082356,yes,maybe
26606599,maybe,maybe
25277731,yes,maybe
17179167,maybe,maybe
18235194,no,maybe
17489316,yes,maybe
20337202,maybe,maybe
26708803,yes,maybe
22427593,yes,maybe
11570976,no,maybe
27044366,yes,maybe
17562682,no,maybe
26686513,no,maybe
24160268,maybe,maybe
19694846,no,maybe
27184293,maybe,maybe
25480629,maybe,maybe
16968876,yes,maybe
17621202,yes,maybe
25987398,no,maybe
16816043,maybe,maybe
12920330,yes,maybe
22706226,yes,maybe
10223070,maybe,maybe
11411430,yes,maybe
18243752,maybe,maybe
17279467,no,maybe
1571683,yes,maybe
26505821,maybe,maybe
22211919,yes,maybe
18714572,no,maybe
20871246,maybe,maybe
12805495,no,maybe
11458136,no,maybe
25007420,maybe,maybe
24946973,no,maybe
11867487,no,maybe
21756515,yes,maybe
18568290,yes,maybe
10605400,maybe,maybe
24434052,yes,maybe
12407608,yes,maybe
17076091,maybe,maybe
22867778,yes,maybe
18403944,yes,maybe
26778755,no,maybe
27615402,no,maybe
11296674,yes,maybe
14992556,yes,maybe
24336869,yes,maybe
19542542,no,maybe
25394614,maybe,maybe
26134053,yes,maybe
19468282,yes,maybe
25371231,yes,maybe
15381614,yes,maybe
25779009,yes,maybe
17105833,yes,maybe
17076590,yes,maybe
17691856,maybe,maybe
19155657,yes,maybe
21080127,no,maybe
12630042,maybe,maybe
16392897,yes,maybe
22302658,yes,maybe
23360491,yes,maybe
10340286,yes,maybe
22954812,yes,maybe
20197761,no,maybe
25571931,no,maybe
20971618,no,maybe
25793749,yes,maybe
18284441,yes,maybe
23860049,no,maybe
25079920,maybe,maybe
20736672,yes,maybe
16361634,maybe,maybe
12790890,maybe,maybe
17578985,no,maybe
15787677,yes,maybe
19711462,maybe,maybe
24591144,yes,maybe
23386371,maybe,maybe
23149821,no,maybe
18800356,yes,maybe
25103647,yes,maybe
18802997,yes,maybe
16538201,yes,maybe
20101129,no,maybe
22849512,yes,maybe
19351635,no,maybe
16735905,yes,maybe
11034241,maybe,maybe
21914194,maybe,maybe
22491528,yes,maybe
11247896,yes,maybe
19145527,yes,maybe
25636371,maybe,maybe
25735444,maybe,maybe
24995509,maybe,maybe
28011794,yes,maybe
9140335,no,maybe
19103915,yes,maybe
19578820,yes,maybe
12626177,yes,maybe
27146470,no,maybe
